Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y;V_z;M_T;M_y;M_z;Section (Material) | Member Comment
1;1;0.000;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;2;3.000;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
Extremes;1;0.000;N;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;N;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;V_y;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;V_y;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;V_z;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;V_z;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;M_T;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;M_T;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;M_y;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;M_y;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;M_z;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;M_z;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
Total;;;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
1;;;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 3.000 m
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;1;0.000;N;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;N;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;V_y;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;V_y;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;V_z;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;V_z;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;M_T;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;M_T;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;M_y;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;M_y;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;M_z;0.00;0.00;0.00;0.00;0.00;0.00;
1;1;0.000;M_z;0.00;0.00;0.00;0.00;0.00;0.00;
;;;;;;;;;;
Total;;;;0.00;0.00;0.00;0.00;0.00;0.00;
max/min;;;;0.00;0.00;0.00;0.00;0.00;0.00;
