Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;2;3.000;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
Extremes;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
Total;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
1;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Beam | 1 - IPE 200 | L : 3.000 m
;;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;;
1;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
;;;;;;;;;;;
Total;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
max/min;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
